id,name,address,postcode,lat,long,accuracy,inspection,score,classification,telephone,type
,Darley Arms,Porter Street,HU1 2RE,53.7545491,-0.3596122,RANGE_INTERPOLATED,11-Mar-04,70,C Acceptable,,
,Dart Hotel,60 Hebden Avenue,HU8 9LX,53.7335519,-0.3785551,RANGE_INTERPOLATED,16-Apr-09,80,B Good,,
,David Lister High School,Rustenburg Street,HU9 2PR,53.809474,-0.329726,GEOMETRIC_CENTER,16-Dec-08,80,B Good,,
,David Lloyd Racquet & Fitness,Gibralter Road,HU7 3YY,53.75398,-0.3735979,RANGE_INTERPOLATED,07-Aug-08,85,B Good,,
,Dazal,12 Newland Avenue,HU5 3AF,53.751494,-0.3477121,RANGE_INTERPOLATED,31-Jan-09,80,B Good,,
,Debbies Sweet Stall,Trinity House Lane,HU1 2JH,53.7405962,-0.3478728,GEOMETRIC_CENTER,19-Aug-04,95,A Excellent,,
,Debenhams Plc Main Store Rec,36 Prospect Street,HU2 8PQ,53.7755444,-0.2710279,RANGE_INTERPOLATED,07-Aug-09,50,D Poor,,
,Dee Street Social Club,Dee Street,HU3 3SN,53.7553279,-0.3029275,GEOMETRIC_CENTER,15-Apr-09,80,B Good,,
,Del Piero`s,241 Greenwood Avenue,HU6 9RY,53.7717431,-0.3223865,APPROXIMATE,11-Jun-09,45,D Poor,,
,Delbrook House,21-23 Marlborough Avenue,HU5 3JP,53.7604308,-0.358981,RANGE_INTERPOLATED,05-Jan-09,85,B Good,,
,Deli-cious,376 Ings Road,HU8 0NP,53.7398408,-0.3340044,APPROXIMATE,27-Jul-09,75,B Good,,
,Denise's Pantry,32 Caroline Street,HU2 8DY,53.747158,-0.3445621,GEOMETRIC_CENTER,27-Oct-09,95,A Excellent,,
,Dennis's Ices,Beverley Road,HU6 7AB,53.7350248,-0.3677297,GEOMETRIC_CENTER,24-Nov-04,85,B Good,,
,Derwent Cafe,Hull University,HU5 2DL,53.7822198,-0.3757754,RANGE_INTERPOLATED,25-Jun-09,85,B Good,,
,Desaru,12 Story Street,HU1 3SA,53.755176,-0.3654271,GEOMETRIC_CENTER,07-Jul-08,80,B Good,,
,Desmond House Residential Home,16-18 Desmond Avenue,HU6 7JZ,53.7751568,-0.3036618,RANGE_INTERPOLATED,16-Jun-09,80,B Good,,
,Di Roma,426 Beverley Road,HU5 1LP,53.7494995,-0.3371786,RANGE_INTERPOLATED,23-Mar-09,55,D Poor,,
,Divas,1 Anlaby Road,HU1 2NT,53.7818859,-0.3594631,GEOMETRIC_CENTER,14-Feb-07,75,B Good,,
,Dixon Bros Butchers,159 Chanterlands Avenue,HU5 3TJ,53.769761,-0.3681636,APPROXIMATE,10-Jan-09,80,B Good,,
